clone	slug	release_tag	asset_name	asset_size	asset_url
Scene-Collective__ps4-hen	Scene-Collective/ps4-hen	pre-release-exploit_fixes-92	hen.bin\t243996\thttps://github.com/Scene-Collective/ps4-hen/releases/download/pre-release-exploit_fixes-92/hen.bin		
Scene-Collective__ps4-hen	Scene-Collective/ps4-hen	pre-release-exploit_fixes-91	hen.bin\t243868\thttps://github.com/Scene-Collective/ps4-hen/releases/download/pre-release-exploit_fixes-91/hen.bin		
Scene-Collective__ps4-hen	Scene-Collective/ps4-hen	pre-release-exploit_fixes-90	hen.bin\t242972\thttps://github.com/Scene-Collective/ps4-hen/releases/download/pre-release-exploit_fixes-90/hen.bin		
Scene-Collective__ps4-hen	Scene-Collective/ps4-hen	pre-release-exploit_fixes-89	hen.bin\t242716\thttps://github.com/Scene-Collective/ps4-hen/releases/download/pre-release-exploit_fixes-89/hen.bin		
Scene-Collective__ps4-hen	Scene-Collective/ps4-hen	pre-release-main-85	hen.bin\t241756\thttps://github.com/Scene-Collective/ps4-hen/releases/download/pre-release-main-85/hen.bin		
Scene-Collective__ps4-hen	Scene-Collective/ps4-hen	pre-release-main-72	hen.bin\t238492\thttps://github.com/Scene-Collective/ps4-hen/releases/download/pre-release-main-72/hen.bin		
Scene-Collective__ps4-hen	Scene-Collective/ps4-hen	pre-release-main-71	hen.bin\t238428\thttps://github.com/Scene-Collective/ps4-hen/releases/download/pre-release-main-71/hen.bin		
Scene-Collective__ps4-hen	Scene-Collective/ps4-hen	pre-release-main-70	hen.bin\t230620\thttps://github.com/Scene-Collective/ps4-hen/releases/download/pre-release-main-70/hen.bin		
Scene-Collective__ps4-hen	Scene-Collective/ps4-hen	pre-release-main-63	hen.bin\t230652\thttps://github.com/Scene-Collective/ps4-hen/releases/download/pre-release-main-63/hen.bin		
Scene-Collective__ps4-hen	Scene-Collective/ps4-hen	pre-release-main-59	hen.bin\t230588\thttps://github.com/Scene-Collective/ps4-hen/releases/download/pre-release-main-59/hen.bin		
Scene-Collective__ps4-hen	Scene-Collective/ps4-hen	pre-release-main-57	hen.bin\t230604\thttps://github.com/Scene-Collective/ps4-hen/releases/download/pre-release-main-57/hen.bin		
Scene-Collective__ps4-hen	Scene-Collective/ps4-hen	pre-release-main-49	hen.bin\t1037892\thttps://github.com/Scene-Collective/ps4-hen/releases/download/pre-release-main-49/hen.bin		
Scene-Collective__ps4-hen	Scene-Collective/ps4-hen	pre-release-main-47	hen.bin\t1037892\thttps://github.com/Scene-Collective/ps4-hen/releases/download/pre-release-main-47/hen.bin		
Scene-Collective__ps4-hen	Scene-Collective/ps4-hen	pre-release-main-44	hen.bin\t1037988\thttps://github.com/Scene-Collective/ps4-hen/releases/download/pre-release-main-44/hen.bin		
Scene-Collective__ps4-hen	Scene-Collective/ps4-hen	pre-release-main-39	hen.bin\t1037732\thttps://github.com/Scene-Collective/ps4-hen/releases/download/pre-release-main-39/hen.bin		
Vuemony__vue-after-free	Vuemony/vue-after-free	2.0	VueExtStorage.7z\t191201248\thttps://github.com/Vuemony/vue-after-free/releases/download/2.0/VueExtStorage.7z	VueLiteManualSetup.7z\t3264266\thttps://github.com/Vuemony/vue-after-free/releases/download/2.0/VueLiteManualSetup.7z	VueLiteSystemBackup.7z\t448629517\thttps://github.com/Vuemony/vue-after-free/releases/download/2.0/VueLiteSystemBackup.7z	VueManualSetup.7z\t53291518\thttps://github.com/Vuemony/vue-after-free/releases/download/2.0/VueManualSetup.7z	VueSystemBackup.7z\t448629462\thttps://github.com/Vuemony/vue-after-free/releases/download/2.0/VueSystemBackup.7z
Vuemony__vue-after-free	Vuemony/vue-after-free	v1.4			
Vuemony__vue-after-free	Vuemony/vue-after-free	v1.3			
Vuemony__vue-after-free	Vuemony/vue-after-free	v1.2			
Vuemony__vue-after-free	Vuemony/vue-after-free	v1.1			
Vuemony__vue-after-free	Vuemony/vue-after-free	v1.0			
a0zhar__PS4.badhoist	a0zhar/PS4.badhoist	v2	dumps.rar\t47885477\thttps://github.com/a0zhar/PS4.badhoist/releases/download/v2/dumps.rar		
a0zhar__PS4.badhoist	a0zhar/PS4.badhoist	v1.2	newDump.rar\t56049178\thttps://github.com/a0zhar/PS4.badhoist/releases/download/v1.2/newDump.rar		
a0zhar__PS4.badhoist	a0zhar/PS4.badhoist	v1.0	dumps.rar\t12047561\thttps://github.com/a0zhar/PS4.badhoist/releases/download/v1.0/dumps.rar		
andy-man__ps4-pup-decrypt	andy-man/ps4-pup-decrypt	v0.1	ps4-pup-decrypt.bin\t26916\thttps://github.com/andy-man/ps4-pup-decrypt/releases/download/v0.1/ps4-pup-decrypt.bin	pup-unpack.exe\t111616\thttps://github.com/andy-man/ps4-pup-decrypt/releases/download/v0.1/pup-unpack.exe	
balika011__belf	balika011/belf	v0.2	belf64.dll\t93696\thttps://github.com/balika011/belf/releases/download/v0.2/belf64.dll	dynlib.xml\t1382852\thttps://github.com/balika011/belf/releases/download/v0.2/dynlib.xml	
balika011__belf	balika011/belf	v0.1	belf64.dll\t93696\thttps://github.com/balika011/belf/releases/download/v0.1/belf64.dll	dynlib.xml\t1051178\thttps://github.com/balika011/belf/releases/download/v0.1/dynlib.xml	
idlesauce__ps4-eboot-dlc-patcher	idlesauce/ps4-eboot-dlc-patcher	v1.2.1	ps4-eboot-dlc-patcher-framework-dependent.zip\t935824\thttps://github.com/idlesauce/ps4-eboot-dlc-patcher/releases/download/v1.2.1/ps4-eboot-dlc-patcher-framework-dependent.zip	ps4-eboot-dlc-patcher-linux-arm64\t8140792\thttps://github.com/idlesauce/ps4-eboot-dlc-patcher/releases/download/v1.2.1/ps4-eboot-dlc-patcher-linux-arm64	ps4-eboot-dlc-patcher-linux-x64\t7811288\thttps://github.com/idlesauce/ps4-eboot-dlc-patcher/releases/download/v1.2.1/ps4-eboot-dlc-patcher-linux-x64	ps4-eboot-dlc-patcher-win-arm64.exe\t6983680\thttps://github.com/idlesauce/ps4-eboot-dlc-patcher/releases/download/v1.2.1/ps4-eboot-dlc-patcher-win-arm64.exe	ps4-eboot-dlc-patcher-win-x64.exe\t6732800\thttps://github.com/idlesauce/ps4-eboot-dlc-patcher/releases/download/v1.2.1/ps4-eboot-dlc-patcher-win-x64.exe
idlesauce__ps4-eboot-dlc-patcher	idlesauce/ps4-eboot-dlc-patcher	v1.2.0	ps4-eboot-dlc-patcher-framework-dependent.zip\t935870\thttps://github.com/idlesauce/ps4-eboot-dlc-patcher/releases/download/v1.2.0/ps4-eboot-dlc-patcher-framework-dependent.zip	ps4-eboot-dlc-patcher-linux-arm64\t8140792\thttps://github.com/idlesauce/ps4-eboot-dlc-patcher/releases/download/v1.2.0/ps4-eboot-dlc-patcher-linux-arm64	ps4-eboot-dlc-patcher-linux-x64\t7811288\thttps://github.com/idlesauce/ps4-eboot-dlc-patcher/releases/download/v1.2.0/ps4-eboot-dlc-patcher-linux-x64	ps4-eboot-dlc-patcher-win-arm64.exe\t6983680\thttps://github.com/idlesauce/ps4-eboot-dlc-patcher/releases/download/v1.2.0/ps4-eboot-dlc-patcher-win-arm64.exe	ps4-eboot-dlc-patcher-win-x64.exe\t6732800\thttps://github.com/idlesauce/ps4-eboot-dlc-patcher/releases/download/v1.2.0/ps4-eboot-dlc-patcher-win-x64.exe
idlesauce__ps4-eboot-dlc-patcher	idlesauce/ps4-eboot-dlc-patcher	v1.1.0	ps4-eboot-dlc-patcher-framework-dependent.zip\t936035\thttps://github.com/idlesauce/ps4-eboot-dlc-patcher/releases/download/v1.1.0/ps4-eboot-dlc-patcher-framework-dependent.zip	ps4-eboot-dlc-patcher-linux-arm64\t8244472\thttps://github.com/idlesauce/ps4-eboot-dlc-patcher/releases/download/v1.1.0/ps4-eboot-dlc-patcher-linux-arm64	ps4-eboot-dlc-patcher-linux-x64\t7906760\thttps://github.com/idlesauce/ps4-eboot-dlc-patcher/releases/download/v1.1.0/ps4-eboot-dlc-patcher-linux-x64	ps4-eboot-dlc-patcher-win-arm64.exe\t7062528\thttps://github.com/idlesauce/ps4-eboot-dlc-patcher/releases/download/v1.1.0/ps4-eboot-dlc-patcher-win-arm64.exe	ps4-eboot-dlc-patcher-win-x64.exe\t6802432\thttps://github.com/idlesauce/ps4-eboot-dlc-patcher/releases/download/v1.1.0/ps4-eboot-dlc-patcher-win-x64.exe
